id,passed
5038,0
5039,0
5040,0
5041,1
5043,0
5044,0
5045,0
5046,0
5047,0
5048,0
5050,0
5051,0
5052,1
5053,0
5054,0
5055,0
5056,1
5057,0
5058,1
5059,0
5060,1
5061,0
5062,0
5063,0
5064,0
5065,1
5066,0
5067,0
5068,0
5069,1
5070,0
5071,0
5072,0
5073,0
5074,0
5075,0
5077,0
5078,0
5079,0
5080,1
5081,0
5082,1
5083,1
5084,1
5085,0
5086,1
5087,1
5088,1
5089,0
5090,0
5092,0
5093,0
5094,0
5095,0
5096,1
5098,0
5099,0
5100,1
5102,0
5103,1
5104,0
5105,1
5106,1
5107,0
5108,0
5109,0
5110,0
5111,0
5112,0
5113,1
5114,1
5115,1
5116,0
5118,1
5119,0
5120,1
5121,0
5122,0
5123,0
5124,0
5125,1
5126,0
5127,0
5128,0
5129,0
5130,0
5131,1
5132,1
5133,0
5134,0
5135,1
5136,0
5137,0
5138,1
5139,1
5140,1
5141,1
5142,1
5143,1
5145,1
5146,1
5147,0
5148,1
5149,0
5150,0
5151,0
5152,0
5153,0
5154,0
5155,0
5156,0
5157,1
5158,1
5159,0
5160,0
5162,0
5163,1
5165,1
5169,0
5170,0
5173,0
5174,1
5175,0
5176,0
5177,0
5178,0
5179,0
5180,0
5183,1
5198,0
5199,0
5200,1
5201,1
5202,0
5203,0
5204,1
5205,0
5206,0
5207,0
5208,1
5209,0
5210,0
5211,0
5212,0
5213,1
5214,1
5215,1
5216,0
5217,0
5218,0
5219,0
5220,1
5221,0
5222,0
5223,1
5224,0
5225,0
5226,1
5227,0
5228,0
5229,1
5231,1
5232,1
5233,0
5234,0
5235,0
5236,0
5237,0
5238,0
5240,0
5241,0
5242,0
5244,0
5245,1
5246,1
5247,1
5248,1
5249,0
5250,1
5251,0
5252,0
5253,0
5254,1
5256,0
5257,0
5258,1
5259,0
5260,0
5261,0
5262,1
5263,1
5264,0
5266,0
5267,1
5268,0
5269,0
5270,0
5272,1
5273,0
5274,0
5275,1
5277,1
5278,0
5279,0
5280,0
5281,1
5282,0
5284,0
5286,0
5287,0
5288,0
5289,0
5290,0
5292,0
5293,1
5294,0
5296,1
5298,0
5299,0
5300,1
5301,0
5302,0
5303,0
5304,0
5305,0
5307,0
5308,1
5309,1
5310,0
5311,0
5312,0
5313,0
5314,1
5315,0
5316,0
5317,1
5318,1
5319,0
5320,0
5321,0
5322,0
5323,1
5324,0
5325,0
5326,0
5327,0
5328,0
5329,0
5330,0
5332,0
5333,0
5334,0
5335,0
5336,0
5337,1
5339,0
5341,0
5342,0
5343,0
5344,0
5345,1
5346,0
5347,0
5349,0
5350,1
5351,0
5352,0
5353,0
5354,0
5356,0
5357,0
5358,0
5359,1
5360,1
5361,0
5363,0
5364,1
5365,0
5366,0
5369,1
5370,0
5371,1
5372,1
5373,0
5375,0
5376,0
5377,0
5378,0
5379,0
5380,1
5381,1
5382,0
5383,1
5384,0
5385,0
5387,0
5388,1
5389,0
5390,0
5391,1
5392,0
5393,0
5394,0
5395,1
5396,0
5397,0
5398,0
5399,0
5400,1
5401,1
5402,1
5403,0
5404,0
5405,0
5406,0
5407,1
5408,0
5409,0
5410,1
5411,0
5412,0
5413,1
5414,0
5415,0
5416,1
5417,0
5418,0
5419,1
5420,1
5421,0
5422,1
5423,0
5424,0
5426,0
5427,1
5428,0
5429,1
5430,0
5431,0
5432,0
5433,0
5434,0
5435,1
5436,1
5437,1
5438,1
5440,0
5441,0
5442,0
5443,0
5444,0
5445,1
5446,0
5447,0
5448,1
5449,0
5450,0
5451,1
5452,0
5453,1
5454,0
5455,0
5456,0
5457,0
5458,0
5459,0
5460,0
5461,0
5462,0
5464,1
5465,1
5466,1
5467,1
5468,0
5469,0
5470,0
5471,0
5472,0
5474,1
5475,0
5476,1
5477,0
5478,0
5479,0
5480,0
5481,0
5482,0
5483,0
5484,0
5485,0
5486,0
5487,0
5488,1
5489,1
5490,0
5491,0
5492,0
5493,1
5494,0
5495,1
5496,0
5497,0
5498,0
5499,1
5500,1
5501,1
5502,0
5503,0
5504,0
5505,0
5506,0
5507,1
5508,1
5509,0
5510,1
5511,0
5512,0
5513,0
5514,0
5515,1
5516,0
5517,0
5518,0
5519,1
5521,1
5522,0
5523,0
5524,1
5525,1
5526,1
5527,1
5528,0
5529,0
5530,0
5531,0
5532,0
5533,0
5534,0
5535,1
5536,0
5537,0
5538,1
5539,0
5540,0
5541,0
5542,1
5543,1
5544,0
5545,1
5546,0
5547,0
5548,0
5549,0
5550,1
5551,0
5552,0
5553,0
5554,0
5555,1
5556,0
5557,1
5558,0
5559,1
5560,0
5561,0
5562,0
5563,0
5564,0
5565,1
5567,1
5568,0
5569,0
5570,1
5571,1
5573,1
5575,0
5576,0
5577,0
5578,0
5579,1
5580,1
5581,0
5582,1
5583,0
5584,1
5585,0
5587,1
5588,0
5589,1
5590,1
5591,0
5592,0
5593,0
5594,1
5595,0
5596,1
5597,1
5598,0
5599,0
5600,1
5601,0
5602,0
5604,0
5605,0
5606,1
5607,0
5608,1
5609,0
5611,1
5612,0
5613,0
5614,1
5615,1
5616,1
5617,1
5618,0
5619,1
5620,0
5621,0
5622,1
5623,0
5624,0
5625,0
5626,0
5627,0
5629,1
5630,1
5631,0
5632,0
5633,0
5634,0
5635,0
5637,0
5639,0
5640,1
5641,0
5642,1
5643,1
5644,0
5645,0
5646,0
5647,1
5648,0
5649,0
5650,1
5651,0
5652,1
5653,1
5654,0
5655,0
5656,1
5657,0
5658,0
5660,1
5661,0
5662,1
5663,0
5664,0
5666,1
5667,1
5668,1
5669,0
5670,0
5671,1
5672,0
5673,1
5675,0
5676,0
5677,1
5678,1
5679,0
5680,0
5681,1
5682,1
5683,1
5684,0
5685,0
5686,0
5687,0
5688,0
5689,0
5690,1
5691,1
5692,0
5693,0
5694,0
5695,1
5696,1
5697,1
5698,1
5699,0
5701,0
5702,1
5703,0
5704,0
5705,1
5706,1
5707,0
5708,1
5709,1
5711,0
5712,0
5713,0
5714,0
5715,0
5716,0
5717,0
5718,0
5719,0
5720,0
5721,1
5722,0
5723,1
5724,0
5725,0
5727,0
5728,0
5729,0
5730,0
5731,0
5732,1
5733,1
5734,0
5735,0
5736,1
5737,0
5738,0
5739,1
5740,1
5741,0
5742,0
5743,0
5744,0
5745,1
5746,0
5747,0
5748,1
5749,1
5750,1
5751,0
5752,0
5753,0
5754,0
5755,1
5756,0
5757,0
5758,0
5759,0
5760,0
5761,1
5762,0
5763,0
5764,0
5765,0
5766,0
5767,0
5768,1
5769,0
5770,1
5771,1
5772,0
5773,0
5774,0
5775,0
5776,1
5777,1
5778,0
5779,0
5780,0
5781,0
5782,0
5783,1
5784,0
