regulation_project_id;Мероприятия, необходимые для достижения целей регулирования;Сроки мероприятий;Описание ожидаемого результата;Объем финансирования;Источники финансирования
7208;нет;нет;нет;нет;нет
7243;Нет;-;-;-;-
7258;Не требуются;Не требуется;-;Не требуется;Не требуется
7462;Не требуются;-;-;-;-
7742;Не требуется;Нет;Нет;Не требуется;Нет
7981;Нет;Нет;Нет;Нет;Нет
8475;г;г;г;г;г
10140;Отсутствует;-;-;-;-
10805;принятие законопроекта;декабрь 2015 года;создание процедуры доступа субъектов малого и среднего предпринимательства к участию в торгах на заключение договоров на установку и эксплуатацию рекламных конструкций;-;-
11195;Не предусмотрено.;не предусмотрено;не требует;Не требует.;Не требует.
11203;Принятие проекта приказа;III квартал 2016 г.;Утверждение механизма расчета размера платы за оказание услуг по осуществлению работ по заявлению, координации и регистрации в Международном союзе электросвязи радиочастот или радиочастотных каналов для радиоэлектронных средств гражданского назначения Российской Федерации и иностранных государств путем внесения изменений в действующую Методику;Финансирование не требуется;Финансирование не требуется
11760;Отсутствуют;Отсутствуют;Отсутствует;Отсутствует;Отсутствуют
12524;Соблюдение санитарно-эпидемиологических требований к обращению (сбору, временному хранению, обеззараживанию, обезвреживанию, транспортированию, учету) с медицинскими отходами;Бессрочно;Обеспечение санитарно-эпидемиологического благополучия населения;В объеме бюджетного финансирования на осуществление полномочий;Бюджет
12545;Не требуются;-;-;-;-
12558;Отсутствуют;-;-;-;-
12902;Не потребуются;Не потребуются;Не потребуются;Не потребуются;Не потребуются
13374;-;-;-;-;-
13559;Вступление в силу нормативного правового акта установленным законодательством порядком;3 месяца;Решение проблемы, указанной в пп. 3.1 и п. 3.2.;Дополни-тельного финансиро-вания не требуется;Не требуются
13963;Принятие проекта Постановления;I квартал 2017 года;Достижение цели, указанной в п.4.1.;Не определен;Финансирование осуществляется в рамках доведенных федеральным исполнительным органам власти бюджетных ассигнований
14026;-;-;-;-;-
14200;Принятие законопроекта;с 01.01.2020;финансовое обеспечение ликвидационных работ;0;финансирование осуществляется в рамках бюджетных ассигнований, предусмотренных Минприроды России на руководство и управление в сфере установленных функций
14309;Принятие проекта нормативного акта;декабрь 2015 г.;принятие проекта постановления;финансирование не требуется;финансирование не требуется
14383;Проведение публичного обсуждения проекта акта с субъектами предпринимательской и иной деятельности, а также его согласование с федеральными органами исполнительной власти.;-;-;-;-
14725;внесение изменений в приказ ФТС России от 6 июля 2012 г. № 1373 «Об утверждении инструкции о действиях должностных лиц таможенных органов при проведении таможенного контроля в форме таможенной проверки»;до вступления в силу федерального закона (ориентировочно июль 2016 г.);соответсвие инструкции о действиях должностных лиц таможенных органов при проведении таможенного контроля в форме таможенной проверки Федеральному закону от 27 ноября 2010 г. № 311-ФЗ «О таможенном регулировании в Российской Федерации»;-;-
14725;внесение изменений в формы акта выездной таможенной проверки и акта камеральной таможенной проверки;до вступления в силу федерального закона (ориентировочно июль 2016 г.);соответсвие формы акта выездной таможенной проверки и акта камеральной таможенной проверки Федеральному закону от 27 ноября 2010 г. № 311-ФЗ «О таможенном регулировании в Российской Федерации»;-;-
14725;"изменение порядка направления таможенным органом в банки и иные кредитные организации запроса о представлении документов и сведений;";до вступления в силу федерального закона (ориентировочно июль 2016 г.);возможность направления таможенным органом в банки и иные кредитные организации запроса о представлении документов и сведений в случаях, предусмотренных пунктом 1 статьи 1 законопроекта;-;-
14725;"изменение порядка представления банками и иными кредитными организациями документов и сведений по запросам таможенных органов;";до вступления в силу федерального закона (ориентировочно июль 2016 г.);возможность получения таможенным органом от банков и иных кредитных организаций по запросу документов и сведений в случаях, предусмотренных пунктом 2 статьи 1 законопроекта;-;-
14725;утверждение порядка внесения изменений в решение о проведении выездной таможенной проверки;до вступления в силу федерального закона (ориентировочно июль 2016 г.);возможность внесения изменений в решение о проведении выездной таможенной проверки;-;-
14748;-;-;-;-;-
15099;Приказ Минкомсвязи России с указанием требований;-;Соблюдение требований к организационно-техническому обеспечению устойчивого функционирования сети связи общего пользования.;-;-
