regulation_project_id;Цели предлагаемого регулирования;Индикативные показатели;Единицы измерения индикативных показателей;Способы расчета индикативных показателей
7208;Нормативное регулирование предоставления услуг инвалидам на борту воздушного судна и в аэропорту;нет;нет;нет
7258;Отсутствуют;нет;нет ;нет
7462;-;-;-;-
7981;Нет;Нет;Нет;Нет
8475;г;г;г;г
10140;-;-;-;-
10805;создание процедуры доступа субъектов малого и среднего предпринимательства к участию в торгах на заключение договоров на установку и эксплуатацию рекламных конструкций;Оценка достижения заявленных в законопроекте целей регулирования осуществляется путем подсчета достигнутой после принятия законопроекта доли субъектов малого и среднего предпринимательства в сфере распространения наружной рекламы.;-;-
11195;Совершенствование законодательства Российской Федерации в области защиты населения и территорий от чрезвычайных ситуаций природного и техногенного характера, в части закрепления в законодательстве Российской Федерации порядка разработки, согласования и утверждения планов действий по предупреждению и ликвидации чрезвычайных ситуаций. ;"Совершенствование законодательства в области 
предупреждения  и ликвидации чрезвычайных ситуаций, в части 
определения порядка разработки, согласования и утверждения планов действий по предупреждению и ликвидации чрезвычайных ситуаций.";Не предусмотрено.;Сравнение с показателями за предыдущие периоды.
11760;Определение порядка ведения раздельного учета доходов и расходов по видам деятельности, связанной с оказанием услуг субъектами естественных монополий в морских портах;Установление тарифов/ ставок , обеспечивающих рентабельность регулируемых услуг;Руб.;Расчет будет производится по оказываемой услуге применительно к конкретному субъекту естественной монополии
12524;Обеспечение санитарно-эпидемиологического благополучия населения;Заболеваемость;случаи;статистические
12545;введение актуализированных санитарно-эпидемиологических требований к определению класса опасности для здоровья человека токсичных отходов производства и потребления в целях обеспечения санитарно-эпидемиологического благополучия населения;Официальное опубликование зарегистрированных в Минюсте России актуализированных санитарных правил;-;-
12558;-;-;-;-
12902;"обеспечение условий для развития виноградарства и виноделия в Российской Федерации; защита прав и интересов физических лиц и юридических лиц, осуществляющих предпринимательскую и иную деятельность в данной области.";доведение площадей виноградных насаждений к 2020 году до 140 тыс. га.;гектар;ведение региональных реестров виноградных насаждений
13559;Решение проблемы, указанной в п. 3.1., и предупреждение негативных эффектов указанных в п. 3.2.;Наличие проблем, указанных в п.п. 3.1 и 3.2.;Количество обращений владельцев СССН на наличие проблем, связанных с присоединением сетей связи специального назначения, с выделением им ресурса нумерации.;Статистический анализ
14026;-;-;-;-
