regulation_project_id;Описание новых или изменения существующих функций, полномочий, обязанностей или прав;Порядок реализации;Оценка изменения трудозатрат и (или) потребностей в иных ресурсах;Наименование органа
7208;нет;нет;нет;нет
7258;Не требуется;нет;нет;Нет
7462;-;-;-;Новых полномочий проектом не предусмотрено
7981;новые функции, полномочия, права и обязанности органов не вводятся;нет;нет;Отсутствует
8475;г;г;г;г
10140;Отсутствуют;-;-;-
10805;уполномоченный Правительством Российской Федерации орган исполнительной власти ;определяет единый порядок проведения торгов, порядок раскрытия информации участниками рынка наружной рекламы, а также контроль за исполнением данных норм, а также порядок подготовки отчета об объеме специализированных мест, выставленных организатором торгов в течение года на торги, проводимые в целях заключения договора на установку и эксплуатацию рекламной конструкции;-;-
10805;высший исполнительный орган государственной власти субъекта Российской Федерации ;определяет порядок предварительного согласования установления иной минимальной доли специализированных мест для субъектов малого и среднего предпринимательства; ; 
10805;органы местного самоуправления муниципальных образований ;наделяются полномочиями по размещению на сайтах в сети «Интернет» сведений об изменении схемы размещения рекламных конструкций, информации о заключенных договорах на установку и эксплуатацию рекламных конструкций, о выданных разрешениях на установку и эксплуатацию рекламных конструкций; ; 
11195;Новые функции, полномочия, обязанности и права федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления и организаций данными изменениями не вводятся.;В соответствии со вторым абзацем пункта 23 Положения единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций, утвержденного постановлением Правительства Российской Федерации от            30 декабря 2003 г. № 794.;отсутствует;МЧС России
11760;Нет;Нет;Нет;Нет
12524;Нет;Не предусмотрен;Не предусмотрены;Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)
12545;-;-;-;Проектом постановления не предусмотрены новые функции, полномочия, обязанности и права федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления, а также порядок их реализации.
12558;Не предусмотрено;-;-;-
12902;"1. Правительство Российской Федерации в соответствии с настоящим Федеральным законом: 1) определяет порядок ведения государственного реестра саморегулируемых организаций виноградарей и виноделов; 2) определяет правила предоставления и распределения субсидий из федерального бюджета бюджетам субъектов Российской Федерации, осуществляемых в целях развития виноградарства и виноделия; 3) осуществляет иные предусмотренные настоящим Федеральным законом, иными федеральными законами, нормативными правовыми актами Президента Российской Федерации и Правительства Российской Федерации полномочия в области виноградарства и виноделия.";Разработка и утверждение нормативных правовых актов Правительства Российской Федерации в соответствии с Регламентом Правительства Российской Федерации, утвержденным постановлением Правительства Российской Федерации от 01.06.2004                       № 260, и постановлением Правительства Российской Федерации от 30.09.2014  № 999 «О формировании, предоставлении и распределении субсидий из федерального бюджета бюджетам субъектов Российской Федерации».;не потребуется;Правительство Российской Федерации
12902;"Федеральный орган исполнительной власти, осуществляющий функции по выработке и реализации государственной политики и нормативно-правовому регулированию в сфере агропромышленного комплекса: 1) осуществляет функции по выработке и реализации государственной политики и нормативно-правовому регулированию в области развития виноградарства и виноделия; 2) утверждает нормативы погектарной урожайности винограда и нормативы нагрузки куста винограда по предложениям саморегулируемых организаций виноградарей и виноделов; 3) утверждает перечень географических зон, в которых осуществляется производство винодельческой продукции с защищенным географическим указанием или с защищенным наименованием места происхождения; 4) определяет порядок формирования и ведения региональных реестров виноградных насаждений; 5) определяет форму, порядок согласования и порядок представления деклараций для формирования региональных реестров виноградных насаждений; 6) определяет порядок представления саморегулируемыми организациями виноградарей и виноделов предложений по рекомендованным нормативам погектарной урожайности винограда и рекомендованным нормативам нагрузки куста винограда; 7) осуществляет иные предусмотренные настоящим Федеральным законом, иными федеральными законами, нормативными правовыми актами Президента Российской Федерации и Правительства Российской Федерации полномочия в области виноградарства и виноделия.";Разработка и утверждение нормативных правовых актов Министерства сельского хозяйства Российской Федерации.;Потребуется внесение изменений в акты Правительства Российской Федерации по вопросам деятельности  Министерства сельского хозяйства Российской Федерации и Федеральной службы по регулированию алкогольного в части перераспределения полномочий и численности федеральных государственных гражданских служащих Минсельхоза России и Росалкогольрегулирования с  передачей соответствующих бюджетных ассигнований;Федеральный орган исполнительной власти
13559;нет;нет;нет;нет
14026;принятие приказа не приведет к установлению новых функций, полномочий, обязанностей и прав федеральных органов исполнительной власти, органов гос власти субъектов Российской Федерации и органов местного самоуправления;-;-;-
14309;Уточнение процедурных аспектов взаимодействия между заинтересованными федеральными органами исполнительной власти в процессе подготовки предложений о применении особых формул расчета ставок вывозных таможенных пошлин на нефть сырую, добываемую на конкретных месторождениях, и проведения мониторинга обоснованности их применения, обработка дополнительной информации в соответствии с проектом постановления;порядок не изменится;трудозатраты не изменятся;все заинтересованные федеральные органы исполнительной власти
14383;-;-;-;Принятие приказа не приведет к установлению новых функций, полномочий, обязанностей и прав федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления 
14725;"изменение порядка направления таможенным органом в банки и иные кредитные организации запроса о представлении документов и сведений;";принятие правовых актов ФТС России;нет;ФТС России
14725;"изменение порядка представления банками и иными кредитными организациями документов и сведений по запросам таможенных органов;";принятие правовых актов ФТС России;нет;ФТС России
14725;"изменение форм документов, применяемых  при проведении таможенных проверок;";принятие правовых актов ФТС России;нет;ФТС России
14725;"утверждение порядка внесения изменений в решение о проведении выездной таможенной проверки;";принятие правовых актов ФТС России;нет;ФТС России
14725;внесение изменений в Инструкцию о действиях должностных лиц таможенных органов при проведении таможенного контроля в форме таможенной проверки, утвержденную приказом ФТС России от 6 июля 2012 г. № 1373;принятие правовых актов ФТС России;нет;ФТС России
14725;"увеличение числа случаев направления таможенным органом в банки и иные кредитные организации запроса о представлении документов и сведений;";в порядке, установленном Федеральным законом от 27 ноября 2010 г. № 311-ФЗ «О таможенном регулировании в Российской Федерации» и правовыми актами ФТС России;нет;таможенные органы
14725;"устанавливается срок утверждения акта таможенной проверки начальником (заместителем начальника) таможенного органа, проводившего таможенную проверку;";в порядке, установленном Федеральным законом от 27 ноября 2010 г. № 311-ФЗ «О таможенном регулировании в Российской Федерации» и правовыми актами ФТС России;нет;таможенные органы
14725;внесение изменений в решение о проведении выездной таможенной проверки в установленных случаях;в порядке, установленном Федеральным законом от 27 ноября 2010 г. № 311-ФЗ «О таможенном регулировании в Российской Федерации» и правовыми актами ФТС России;нет;таможенные органы
14748;-;-;-;-
15099;Функции не изменяются;-;-;Россвязь
15247;"разработка и реализация государственной политики 
и международное сотрудничество в области производства и оборота органической продукции;
организация информационного и методического обеспечения производителей органической продукции;
ведение единого государственного реестра производителей органической продукции;";издание нормативных правовых актов;реализация полномочий будет осуществляться уполномоченным Правительством Российской Федерации федеральным органом исполнительной власти в пределах установленной Правительством Российской Федерации предельной численности работников  его центрального аппарата и бюджетных ассигнований, предусмотренных ему в федеральном бюджете на руководство и управление в сфере установленных функций;федеральный орган исполнительной власти, уполномоченный Правительством Российской Федерации в области производства и оборота органической продукции
15379;"Порядок устанавливает правила маркировки древесных упаковочных или крепежных материалов, требования к форме специального знака международного образца, способам его нанесения, 
а также порядок принятия решения о выдаче или отказе 
в выдаче, и выдаче разрешения на использование маркировочного знака для маркировки древесных упаковочных и крепежных материалов при их производстве на экспорт";Установлен приказом Минсельхоза России в целях реализации части 3 статьи 25 Закона № 206-ФЗ.;Не требуется.;Россельхознадзор
17151;"Изменение функции Росгидромета: Осуществление государственного надзора в области гидрометеорологии и смежных с ней областях
Новые функции:
1. Правительство РФ:
- утверждение перечня работ федерального назначения в области гидрометеорологии и смежных с ней областях
- утверждение перечня информации общего назначения и случаях безвозмездного предоставления специализированной информации
- утверждение положения о федеральном государственном надзоре в области гидрометеорологии и смежных с ней областях
- утверждение порядка взаимодействия федерального органа исполнительной власти в области гидрометеорологии и смежных с ней областях с Вооруженными Силами Российской Федерации
2. Минприроды России:
- определение порядка распространения информации общего назначения
- определение порядка проведения гидрометеорологической оценки
3. Уполномоченный Правительством РФ федеральный орган исполнительной власти
- определение методики расчета платы за предоставление специализированной информации
- определение перечня технологий и технических средств активного воздействия на метеорологические и другие геофизические процессы
- Утверждение федеральных норм и правил в области гидрометеорологии и смежных с ней областях
";"в соответствии с Положением о виде государственного надзора

утверждение нормативно-правовых актов";В пределах штатной численности и бюджетных ассгнований, предусматриваемых федеральному органу исполнительной власти;-
17464;направление документов для внесения сведений о контуре земель в Реестр;в порядке информационного взаимодействия, в том числе с использованием единой системы межведомственного электронного взаимодействия и подключаемых к ней региональных систем межведомственного электронного взаимодействия;изменение трудозатрат не потребуется, потребность в иных ресурсах отсутствует;"органы государственной власти субъектов Российской Федерации
органы местного самоуправления
заинтересованные федеральные органы исполнительной власти"
17464;создание Реестра и Системы, с использованием которой планируется ведение Реестра;определение по результатам открытого конкурса на право заключения государственного контракта организации, которая обеспечит создание и техническую поддержку Системы;реализация полномочий будет осуществляться Минсельхозом России в пределах установленной Правительством Российской Федерации предельной численности работников центрального аппарата Минсельхоза России и бюджетных ассигнований, предусмотренных Минсельхозу России в федеральном бюджете на руководство и управление в сфере установленных функций, а также подведомственными Минсельхозу России федеральными государственными бюджетными учреждениями в пределах доведенных бюджетных ассигнований;Минсельхоз России
17464;ведение Реестра и предоставление сведений, внесенных в Реестр;на основании решения Минсельхоза России ведение Реестра и предоставление из него сведений о землях сельскохозяйственного назначения будут осуществлять подведомственные Минсельхозу России федеральные государственные бюджетные учреждения;реализация полномочий будет осуществляться Минсельхозом России в пределах установленной Правительством Российской Федерации предельной численности работников центрального аппарата Минсельхоза России и бюджетных ассигнований, предусмотренных Минсельхозу России в федеральном бюджете на руководство и управление в сфере установленных функций, а также подведомственными Минсельхозу России федеральными государственными бюджетными учреждениями в пределах доведенных бюджетных ассигнований;Минсельхоз России
17555;Законом № 251-ФЗ в Закон о защите конкуренции были внесены изменения, предусматривающие, что условия и порядок установления доминирующего положения финансовой организации, поднадзорной Банку России, должны быть установлены Правительством Российской Федерации по согласованию с Банком России;Согласование с Банком России Условий признания доминирующим положения финансовой организации и Правил установления доминирующего положения финансовой организаци, поднадзорной Центральному банку Российской Федерации;Изменений не произойдет;ФАС России
