regulation_project_id;Группа участников отношений;Описание новых или изменения содержания существующих обязанностей и ограничений;Описание и оценка видов расходов (доходов)
7208;нет;нет;нет
7258;Граждане, юридические лица и индивидуальные предприниматели, деятельность которых связана с проектированием, строительством, реконструкцией и эксплуатацией производственных объектов, организацией рабочих мест, независимо от ведомственной принадлежности, организационно-правовых форм и форм собственности;Не предусматривается; 
7462;Принятие акта будет способствовать сокращению расходов хозяйствующих субъектов, в первую очередь, за счет отмены натурных исследований и измерений для обоснования границ СЗЗ аэропортов, аэродромов, вертодромов, а также возможности своевременного внесения сведений об установленных СЗЗ в ЕГРН;См. п.11.1; 
7981;лица, участвующие в строительстве.;не определено; 
8475;г;г; 
10140;Отсутствует;Отсутствует; 
10805;хозяйствующие субъекты – участники отношений в сфере распространения наружной рекламы;-;Увеличение расходов субъектов предпринимательской и иной экономической деятельности, связанных с необходимостью соблюдения установленных обязанностей или ограничений либо с изменением содержания таких обязанностей или ограничений в результате принятия законопроекта не предполагается.
11195;Федеральные органы исполнительной власти и их территориальные органы, органы исполнительной власти субъектов Российской Федерации, городские округа и муниципальные районы и организации.;Без изменений.; 
11760;Субъекты естественных монополий, участвующие в оказании услуг в морских портах;Методическая разработка и внедрение автоматизированной системы раздельного учета доходов и расходов по видам деятельности;Стоимость внедрения до 4 млн. руб. разовая лицензия до 2,8 млн. руб. последующая техническая и метод. поддержка до 1,5 млн. руб. (оценка на примере крупного предприятия, оказывающего услуги в сфере морских портов)
12524;Юридические и физические лица, индивидуальные предприниматели, деятельность которых связана с обращением (сбору, временному хранению, обеззараживанию, обезвреживанию, транспортированию, учету) с медицинскими отходами, а также органы, осуществляющие федеральный государственный санитарно-эпидемиологический надзор;Новых или изменения содержания существующих обязанностей и ограничений не предусмотрено; 
12545;Все участники, указанные в пункте 7.1 настоящего отчета;Новых обязанностей или ограничений для субъектов предпринимательской и иной экономической деятельности в связи с введением постановления не возникнет. Изменение содержания существующих обязанностей и ограничений, предусмотренные проектом постановления, будут способствовать сокращению расходов хозяйствующих субъектов, осуществляющий данный вид деятельности;Отсутствуют в связи с отсутствием новых обязанностей и ограничений. Изменение ранее установленных обязанностей будут способствовать сокращению расходов хозяйствующих субъектов.
12558;Новые обязанности и ограничения не предусмотрены;Новые обязанности и ограничения не предусмотрены;Новые обязанности и ограничения не предусмотрены
12902;Юридические лица и индивидуальные предприниматели;Представляют декларации для формирования региональных реестров виноградных насаждений в уполномоченные органы субъектов Российской Федерации;Операционные (текущие) расходы.
13559;Операторы связи;Изменение порядка присоединения сетей связи, установленного законодательством Российской Федерации в области связи, не предусматривается.; 
14026;принятие приказа не приведет к изменению расходов и доходов субъектов предпринимательской и иной экономической деятельности;-; 
14309;Недропользователи, осуществляющие добычу нефти, претендующие на применение особых формул расчета ставок вывозных таможенных пошлин на нефть сырую;уточнение процедурных аспектов взаимодействия с разработчиком, предоставление дополнительной информации в соответствии с проектом постановления;Не потребуется дополнительных расходов
14383;Принятие приказа не приведет к дополнительным расходам субъектов предпринимательской и иной экономической деятельности, связанных с необходимостью соблюдения установленных обязанностей или ограничений.;-;-
14725;"Лица, в отношении которых проводится таможенный контроль после выпуска товаров: декларант; таможенный представитель; перевозчик, в том числе таможенный перевозчик; лицо, обладающее полномочиями в отношении товаров после их выпуска, или его представитель; лицо, осуществляющее временное хранение товаров; владельцы магазинов беспошлинной торговли, таможенных и иных складов; уполномоченный экономический оператор; иные лица, напрямую или косвенно участвовавшие в сделках с товарами, помещенными под соответствующую таможенную процедуру; лицо, в отношении которого имеется информация, что в его владении и (или) пользовании находятся (находились) товары с нарушением порядка, предусмотренного Таможенным кодексом Таможенного союза, в том числе незаконно перемещенные через таможенную границу Евразийского экономического союза.";Нет;расходы не предполагаются
14725;банки и иные кредитные организации;изменение порядка представления банками и иными кредитными организациями документов и сведений по запросам таможенных органов в части расширения перечня представляемых документов и сведений и случаев их представления;расходы не предполагаются
14748;-;-; 
15099;Изготовители технических средств ОРМ ;Изменение порядка обязательного подтверждения соответствия средств связи, установленного  законодатель-ством Российской Федерации в области связи, не предусматривается.; 
15247;Физические и юридические лица, осуществляющие производство органической продукции;не предусмотрены; 
15379;Юридические и физические лица, подавшие заявки на выдачу разрешения на использование маркировочного знака, а также экспортеры отечественной продукции с использованием древесных упаковочных и крепежных материалов, производители древесных упаковочных и крепежных материалов.;"Отсутствуют.
Соблюдение требований, предъявляемых к владельцам Разрешений на использование маркировочного знака."; 
17151;Участники деятельности гидрометеорологической службы;Возможность оказания услуг по гидрометеорологической оценке намечаемой или осу-ществляемой хозяйственной и иной деятельности;0,00р.
17464;собственники, владельцы, пользователи, в том числе арендаторы сельскохозяйственных земельных участков, осуществляющие сельскохозяйственную деятельность;"обязанность проводить агротехнические, агрохимические, мелиоративные, фитосанитарные и противоэрозионные мероприятия по воспроизводству плодородия земель сельскохозяйственных угодий

";обязанность обеспечивать доступ на сельскохозяйственный земельный участок должностных лиц, проводящих почвенное, агрохимическое, фитосанитарное и эколого-токсикологическое обследования такого земельного участка
17555;финансовая организация, поднадзорная Банку России;отсутствуют;отсутствуют
17984;отсутствуют;отсутсвует; 
18013;Организаторы распространения информации в сети  «Интернет»;Приведение оборудования в соответствие с едиными требованиям.; 
18162;Юридические лица, индивидуальные предприниматели связанные с работой метрополитена и граждане пользующиеся услугами метрополитена, органы, уполномоченные осуществлять федеральный государственный санитарно-эпидемиологический надзор.;Новые изменения не предусматриваются; 
18209;Собственники, землепользователи, арендаторы земельных участков в составе земель сельскохозяйственного назначения, оборот которых регулируется Законом об обороте.;Проект акта не устанавливает новых преимуществ, обязанностей или ограничений для субъектов предпринимательской и иной экономической деятельности.; 
18230;-;-;-
18247;Экономические субъекты, обязанные представлять в органы государственной статистики годовую бухгалтерскую (финансовую) отчетность, за исключением организаций государственного сектора и Центрального банка Российской Федерации.;Не предполагается;Не предусмотрены
18484;В проекте федерального закона не содержатся новые обязанности и ограничения для субъектов предпринимательской и иной экономической деятельности ;В проекте федерального закона не содержатся новые обязанности и ограничения для субъектов предпринимательской и иной экономической деятельности ; 
18716;Операторы подвижной радиотелефонной связи и оператор базы данных перенесенных номеров;Проектом НПА не предусматривается введения новых или изменение существующих обязанностей и ограничений;Отсутствуют
18827;Пользователи недр;Создание ликвидационных фондов или предоставление корпоративной гарантии;0,00р.
