regulation_project_id;Группа участников отношений;Оценка количества участников отношений
7208;Аэропорты, авиаперевозчики, туроператоры (турагенты), агенты авиаперевозчиков, пассажиры с ограничениями жизнедеятельности;потенциально не ограничены
7243;Юридические и физические лица, индивидуальные предприниматели, деятельность которых связана с размещением, проектированием, строительством и эксплуатацией объектов, а также органы, осуществляющие федеральный государственный санитарно-эпидемиологический надзор;Неограниченный круг лиц
7243;Нет;Нет
7258;Граждане, юридические лица и индивидуальные предприниматели, деятельность которых связана с проектированием, строительством, реконструкцией и эксплуатацией производственных объектов, организацией рабочих мест, независимо от ведомственной принадлежности, организационно-правовых форм и форм собственности. ;Все участники отношений, указанные в пункте 7.1.
7258;Территориальные органы федерального органа исполнительной власти, осуществляющего санитарно-эпидемиологический государственный надзор (контроль) за соблюдением требований санитарных правил;85 (за 2015 год)
7462;Юридические лица, индивидуальные предприниматели, граждане, контрольно-надзорные органы;Все участники, указанные в п. 7.1
7462;-;-
7742;Ведомственная охрана и федеральные органы исполнительной власти и организации, имеющие право на ее создание;36
7742;Территориальные органы Министерства внутренних дел Российской Федерации на региональном уровне;84
7981;лица, участвующие в строительстве;количество участников строительного рынка оценить не представляется возможным
7981;-;-
8475;г;г
8475;г;г
10140;Организации, осуществляющие эксплуатацию, использование искусственных островов, установок, сооружений, подводных трубопроводов, проведение буровых работ при региональном геологическом изучении, геологическом изучении, разведку и добычу углеводородного сырья, а также  транспортировку и хранение нефти и нефтепродуктов на континентальном шельфе Российской Федерации, во внутренних морских водах, в территориальном море и прилежащей зоне Российской Федерации;четыре компании
10140;-;-
10805;Законопроект затронет своим регулированием права и обязанности хозяйствующих субъектов – участников отношений в сфере распространения наружной рекламы, органов власти субъектов Российской Федерации, органов местного самоуправления различных муниципальных образований, антимонопольных органов.;-
11195;Федеральные органы исполнительной власти и их территориальные органы, органы исполнительной власти субъектов Российской Федерации, муниципальные образования, организации.;Более 10 млн.
11195;Отсутствует.;Отсутствует.
11203;Пользователи радиочастотным спектром;достоверно оценить количество указанных субъектов не представляется возможным
11203;Отсутствует;Отсутствует
11760;Субъекты естественных монополий, участвующие в оказании услуг в морских портах;Около 150
12524;Юридические и физические лица, индивидуальные предприниматели, деятельность которых связана с обращением (сбору, временному хранению, обеззараживанию, обезвреживанию, транспортированию, учету) с медицинскими отходами, а также органы, осуществляющие федеральный государственный санитарно-эпидемиологический надзор;Не определена
12524;нет;нет
12545;Физические и юридические лица, индивидуальные предприниматели,  деятельность которых связана  с обращением с отходами производства и потребления (за исключением радиоактивных, биологических, взрыво- и пожароопасных отходов, а также отдельных видов медицинских отходов (не включая медицинские отходы класса Г));Все участники, указанные в пункте 7.1 настоящего отчета
12558;Юридические лица, индивидуальные предприниматели и граждане, деятельность которых связана с проектированием, строительством и эксплуатацией объектов по добыче питьевых подземных вод, других хозяйственных и иных объектов, деятельность которых оказывает или может оказывать влияние на состояние подземных вод, а также для организаций, осуществляющих управление и контроль в области охраны подземных вод в соответствии с законодательством Российской Федерации. ;Все лица, указанные в п.7.1 настоящего сводного отчета
12902;Минсельхоз России;1
12902;Росалкогольрегулирование;1 
12902;Субъекты Российской Федерации;не более 10
12902;Юридические лица и индивидуальные предприниматели;около 300 организаций, осуществляющих виноградарство, и около 230 организаций, осуществляющих виноделие (без учета организаций, осуществляющих виноградарство и виноделие в Республике Крым и городе Севастополе)
13374;-;-
13559;Операторы связи;1000
13559;Владельцы сетей связи специального назначения;100
13963;Пользователи радиочастотного спектра;достоверно оценить количество указанных субъектов не представляется возможным
13963;Отсутсвует;Отсутствуют
14026;участники перевозочного процесса;не представляется возможным 
14026;-;-
14200;пользователи недр;6093
14200;-;-
14309;Недропользователи;около 20
14309;Заинтересованные федеральные органы исполнительной власти;7
14383;Владельцы инфраструктур железнодорожного транспорта общего пользования, перевозчики, операторы железнодорожного подвижного состава и другие организации железнодорожного транспорта, грузоотправители и грузополучатели;не представляется возможным 
14725;"Лица, в отношении которых проводится таможенный контроль после выпуска товаров:  декларант; таможенный представитель; перевозчик, в том числе таможенный перевозчик; лицо, обладающее полномочиями в отношении товаров после их выпуска, или его представитель; лицо, осуществляющее временное хранение товаров; владельцы магазинов беспошлинной торговли, таможенных и иных складов; уполномоченный экономический оператор; иные лица, напрямую или косвенно участвовавшие в сделках с товарами, помещенными под соответствующую таможенную процедуру; лицо, в отношении которого имеется информация, что в его владении и (или) пользовании находятся (находились) товары с нарушением порядка, предусмотренного Таможенным кодексом Таможенного союза, в том числе незаконно перемещенные через таможенную границу Евразийского экономического союза";количество участников не определено
14725;банки и иные кредитные организации;850
14725;таможенные органы, осуществляющие таможенный контроль после выпуска товаров;628
14725;Центральный банк Российской Федерации;1
14748;Юридические и физические лица; 
14748;(200 организаций и 1000 физических лиц);(200 организаций и 1000 физических лиц)
14748;-;-
15099;Изготовители технических средств ОРМ;10
15099;Операторы связи;100
15247;Физические и юридические лица, осуществляющие производство органической продукции, их объединения.;Более 70 некоммерческих  организаций объединяющих более 10 тысяч производителей органической продукции.
15247;Минсельхоз России, Россельхознадзор, Роспотребнадзор, Росаккредитация,  государственные органы власти субъектов Российской Федерации, органы местного самоуправления.;Высокая
15379;Юридические и физические лица, подавшие заявки на выдачу разрешения на использование маркировочного знака, а также экспортеры отечественной продукции с использованием древесных упаковочных и крепежных материалов, производители древесных упаковочных и крепежных материалов.;Неограниченное количество.
15379;Россельхознадзор;1
17151;Участники деятельности гидрометеорологической службы;~850
17151;-;-
17464;собственники, владельцы, пользователи, в том числе арендаторы сельскохозяйственных земельных участков, осуществляющие сельскохозяйственную деятельность;по состоянию на сентябрь 2016 г. общее количество физических и юридических лиц, индивидуальных предпринимателей, осуществляющих сельскохозяйственную деятельность составляет 211 000
17464;органы государственной власти субъектов Российской Федерации;органы государственной власти субъектов Российской Федерации в 85 субъектах Российской Федерации
17464;органы местного самоуправления;органы местного самоуправления в 22 279 муниципальных образованиях
17464;заинтересованные федеральные органы исполнительной власти;общее количество федеральных органов исполнительной власти составляет 73
17464;Минсельхоз России;в пределах численности работников соответствующих структурных подразделений
17555;кредитная организация, профессиональный участник рынка ценных бумаг, организатор торговли, клиринговая организация, микрофинансовая организация, кредитный потребительский кооператив, страховая организация, страховой брокер, общество взаимного страхования, негосударственный пенсионный фонд, управляющая компания инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов, специализированный депозитарий инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов, ломбарды (далее - финансовая организация, поднадзорная Банку России), ФАС России и иные физические и юридические лица;кредитные организации - 797, профессиональные участники рынка ценных бумаг - 2433, организаторы торговли - 8, клиринговые организации - 5, микрофинансовые организации - 7223, кредитные потребительские кооперативы - 1672, страховые организации - 507, страховые брокеры - 144, общества взаимного страхования - 11, управляющие компании - 565, специализированные депозитарии - 39, негосударственные пенсионные фонды - 107, ломбарды - 7736, ФАС России - 3436. Оценить количество иных физических и юридических лиц не представляется возможным.
17984;Росреестр, члены комиссий, лица, оспаривающие результаты определения кадастровой стоимости;отсутствует
17984;отсутствует;отсутствует
18013;Организаторы распространения информации в сети  «Интернет»;85
18013;Отсутствуют;-
18162;Юридические лица, индивидуальные предприниматели связанные с работой метрополитена и граждане пользующиеся услугами метрополитена, органы, уполномоченные осуществлять федеральный государственный санитарно-эпидемиологический надзор.;отсутствует
18162;-;-
18209;Собственники, землепользователи, арендаторы земельных участков в составе земель сельскохозяйственного назначения, оборот которых регулируется Законом об обороте: юридические лица и индивидуальные предприниматели, граждане, органы государственной власти, органы местного самоуправления.;по данным всероссийской сельскохозяйственной переписи  2006 года по состоянию на 01.07.2006 общее количество физических и юридических лиц, осуществляющих сельскохозяйственную деятельность, составляет 344 349
18209;Минсельхоз России;1
18230;Российский юридические лица, индивидуальные предприниматели;Более 100
18230;Органы государственной власти субъектов Российской Федерации, органы местного самоуправления;Более 20
18247;Экономические субъекты, обязанные представлять в органы государственной статистики годовую бухгалтерскую (финансовую) отчетность – организации, являющиеся юридическими лицами по законодательству Российской Федерации, кроме банков, страховых, религиозных организаций и бюджетных учреждений.;1756 тыс.
18484;Граждане - потребители жилищно-коммунальных услуг. ;Информация отсутствует 
18484;Юридические лица и индивидуальные предприниматели, осуществляющие деятельность по энергосервису ;Информация отсутствует 
18716;К основным группам участников общественных отношений, интересы которых могут быть затронуты предлагаемым регулированием, относятся операторы подвижной радиотелефонной связи.;Оператор базы данных перенесенных номеров - ФГУП «ЦНИИС». Крупнейшие участники отношений: ОАО «МегаФон», ОАО «ВымпелКом», ОАО «Мобильные ТелеСистемы», Группа компаний ТЕЛЕ2, ОАО «Ростелеком». Другие операторы связи, оказывающие услуги подвижной радиотелефонной связи на основании выданных лицензий.
18796;Юридические и физические лица, осуществляющие ввоз РЭС (ВЧУ) гражданского назначения, в том числе встроенных либо входящих в состав других товаров, ;Достоверно оценить количество указанных субъектов не представляется возможным
18796;ФГУП «РЧЦ ЦФО»; 
18827;пользователи недр;6093
18827;-;-
18839;Юридические лица, имеющие намерение оказывать услуги связи с использованием элементов сетей подвижной радиотелефонной связи других операторов связи, операторы подвижной радиотелефонной связи, имеющие радиочастотные ресурсы и, которые ввели свои сети связи в эксплуатацию.;"Крупнейшие участники отношений, имеющие радиочастотные ресурсы: ; ОАО «МегаФон», ОАО «ВымпелКом», ОАО «Мобильные ТелеСистемы», Группа компаний ТЕЛЕ2.; С учетом потенциального рынка услуг сети передачи данных для подключения датчиков телеметрии, банкоматов и платежных терминалов, камер наблюдения и др. количество новых операторов связи, которые воспользуются бизнес-моделью виртуального оператора, может составить несколько десятков за следующие 5 лет."
18839;Не имеется;Не имеется
18888;Юридические лица, индивидуальные предприниматели и организации осуществляющие в пунктах пропуска хозяйственную деятельность, связанную с внешнеторговыми операциями и имеющие в собственности имущество в пунктах пропуска;Не ограничено
18888;-;-
18988;Юридические лица, осуществляющие деятельность в области племенного животноводства;3500
18988;Нет;Нет
19058;Минсельхоз России;1
19058;Минэкономразвития России;1
19058;ФАС России;1
19058;Сельхозтоваропроизводители;Неопределенное количество
19215;"Федеральные органы исполнительной власти, государственные корпорации и организации, создающие функциональные подсистемы единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций;";"23;"
19215;"органы исполнительной власти субъектов Российской Федерации;";"85;"
19215;"организации, входящие в состав функциональных подсистем единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций;";"Организации, уполномоченные на создание или входящие в состав функциональных подсистем единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций, определенные постановлением Правительства Российской Федерации от 30.12.2003 № 794 «О единой государственной системе предупреждения и ликвидации чрезвычайных ситуаций»;"
19215;"организации, эксплуатирующие критически важные объекты и потенциально опасные объекты;";"Организации, в ведении которых находятся потенциально-опасные объекты согласно приказу МЧС России от 28.02.2003 № 105 «Об утверждении требований по предупреждению чрезвычайных ситуаций на потенциально опасных объектах и объектах жизнеобеспечения»;"
19215;"органы местного самоуправления;";"22923;"
19215;организации, входящие в состав территориальных подсистем единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций, за исключением организаций, в отношении которых осуществляется федеральный государственный надзор;Данные отсутствуют
19244;субъекты градостроительных отношений;количество участников строительного рынка оценить не представляется возможным. 
19244;-;-
19359;резиденты ТОР;Количество участников не ограничено
19402;все лица;Количество участников не ограничено
19939;Пользователи радиочастотным спектром;Достоверно оценить количество участников не предоставляется возможным
20039;Изготовители технических средств ОРМ;до 10
20039;нет;нет
20202;"Субъекты платы за негативное воздействие на окружающую среду согласно пункту 1 статьи 16.1 Федерального закона от 10.01.2016   № 7-ФЗ ""Об охране окружающей среды""";760 231 (на 01.10.2016)
20202;Росприроднадзор;9 Департаментов по Федеральным округам и 72 Управления Росприроднадзора по субъектам Российской Федерации и Центральный аппарат Росприроднадзора
20252;Приказ Минздрава России будет распространяться на всех участников обращения лекарственных средств;Отсутствует
20290;Нормативный правовой акт будет распространяться на всех участников обращения лекарственных средств ;Отсутствует
20292;Лица, имеющие право подать заявление о выдаче прокатного удостоверения: продюсер, прокатчик, демонстратор, иное лицо, имеющее право на соответствующий способ использования фильма. ;Количество лиц, обратившихся для получения прокатного удостоверения на фильм. 
20305;Организации, осуществляющие деятельность в сфере похоронного дела;16 864
20305;Органы местного самоуправления, Органы государственной власти субъектов Российской Федерации;Более 22 000, Более 100
20311;Представители фестивального сообщества, продюсеры кино и телевидения, телеканалы.;-
20311;-;-
20623;операторы связи;Крупнейшие участники отношений: ОАО «МегаФон», ОАО «ВымпелКом», ОАО «Мобильные ТелеСистемы», Группа компаний ТЕЛЕ2, ОАО «Ростелеком». Другие операторы связи, оказывающие услуги связи на основании выданных лицензий, а также государственные и муниципальные органы.
20623;государственные и муниципальные органы; 
20724;Российские юридические лица, индивидуальные предприниматели;Более 100
20724;Органы государственной власти субъектов Российской Федерации, органы местного самоуправления;Более 20
20731;Российские организации,осуществляющие социальное обслуживание граждан, и  воспользовавшиеся правом на применение налоговой ставки 0 процентов по налогу на прибыль организаций.;нет данных
20755;Российские юридические лица, индивидуальные предприниматели;Более 100
20755;Органы государственной власти субъектов Российской Федерации, органы местного самоуправления;Более 20
20782;Субъекты аудиторской деятельности ;По состоянию на 14.10.2016 в реестре аудиторов и аудиторских организаций саморегулируемых организаций аудиторов: 4340 - аудиторских организаций,  648 - индивидуальных аудиторов.  
20782;Налоговые органы Российской Федерации;Разработчик не располагает такой информацией
20840;лица, осуществляющие ввоз товаров в Российскую Федерацию и вывоз товаров из Российской Федерации;не имеем
20947;кредитная организация, профессиональный участник рынка ценных бумаг, организатор торговли, клиринговая организация, микрофинансовая организация, кредитный потребительский кооператив, страховая организация, страховой брокер, общество взаимного страхования, негосударственный пенсионный фонд, управляющая компания инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов, специализированный депозитарий инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов, ломбарды (далее - финансовая организация, поднадзорная Банку России), ФАС России и иные физические и юридические лица;редитные организации - 797, профессиональные участники рынка ценных бумаг - 2433, организаторы торговли - 8, клиринговые организации - 5, микрофинансовые организации - 7223, кредитные потребительские кооперативы - 1672, страховые организации - 507, страховые брокеры - 144, общества взаимного страхования - 11, управляющие компании - 565, специализированные депозитарии - 39, негосударственные пенсионные фонды - 107, ломбарды - 7736, ФАС России - 3436. Оценить количество иных физических и юридических лиц не представляется возможным.
21034;юридические и физические лица, чья деятельность связана с эксплуатацией и управлением железнодорожным подвижным составом;не представляется возможным
21068;"Негосударственные пенсионные фонды, осуществляющие деятельность по обязательному пенсионному страхованию.   Организации и предприятия  на которых находятся рабочие места с вредными и (или) опасными условиями труда, подтвержденными результатам специальной оценки условий труда															
";"15 негосударственных пенсионных фондов
300 работодателей"
21068;"Пенсионный фонд Российской Федерации																																																								
";1
21086;Негосударственные пенсионные фонды, осуществляющие деятельность по обязательному пенсионному страхованию.   ;15 негосударственных пенсионных фондов. 
21086;Организации и предприятия  на которых находятся рабочие места с вредными и (или) опасными условиями труда, подтвержденными результатам специальной оценки условий труда	;300 работодателей.
21086;Пенсионный фонд Российской Федерации;1
21309;"1. Федеральные государственные бюджетные учреждения, подведомственные Минсельхозу России, осуществляющие эксплуатацию мелиоративных систем и (или) гидротехнических сооружений, используемых в целях мелиорации земель


 2. Сельхозтоваропроизводители и иные водопользователи, осуществляющие забор (сброс) водных ресурсов из (в) мелиоративных систем
";"1. 76 учреждений,  из числа которых будут определены уполномоченные на заключение договоров оказания услуг по подаче (отводу) воды  




; 2.Неограниченный круг лиц"
21309;нет;нет
21346;Юридические и физические лица, арбитражные управляющие, саморегулируемые организации арбитражных управляющих, организаторы торгов, операторы электронных площадок, саморегулируемые организации операторов электронных площадок;-
21367;несоответствия между предложенным способом регулирования и заявленными целями предложенного способа регулирования;отсутствует
21367;недостаточности механизмов реализации предложенного способа  регулирования для решения проблемы;отсутствует
