regulation_project_id;Описание отменяемых обязанностей, запретов или ограничений;Описание и оценка затрат на выполнение отменяемых обязанностей, запретов или ограничений
7208;нет;нет
7981;Отсутствуют;Отсутствуют
11195;Отсутствует.;Отсутствует.
12902;Отутсвуют;Отсутсвуют
15247;не предусмотрены;не предусмотрены
17151;-;-
17464;законопроектом предусмотрена отмена обязанности собственников, владельцев, пользователей, в том числе арендаторов сельскохозяйственных земельных участков информировать соответствующие органы исполнительной власти о фактах деградации сельскохозяйственных земель и загрязнении почв таких земель на земельных участках, находящихся в их собственности, владении или пользовании, в том числе в аренде;оценка затрат не проводилась
18230;-;-
18484;Проект федерального закона не содержит отмены обязанностей, запретов и ограничений;Проект федерального закона не содержит отмены обязанностей, запретов и ограничений
18827;Законопроектом не предусмотрена отмена каких-либо обязанностей, запретов или ограничений, так он не вводит новых обязанностей, запретов или ограничений. Обязательства по рекультивации установлены статьей 26 Закона Российской Федерации «О недрах», в соответствии с которой консервация и ликвидация горных выработок и иных сооружений, связанных с пользованием недрами, осуществляется за счет средств пользователей недр.;-
18888;Отмена обязанностей, запретов или ограничений не предусмотрена;Отсутствует
19058;Отсутствует;Отсутствует
20305;-;-
20623;нет;нет
20782;-;-
20840;производить уплату таможенных сборов за таможенные операции одновременно с подачей таможенной декларации;нет
21309;нет;нет
21576;нет;нет
21712;отсутствует;отсутствует
22817;отсутствует;отсутствует
22979;Нет;Нет
23448;-;-
23513;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта
23591;Корректировка предыдущих правил;Корректировка предыдущих правил
25223;отсутствуют;отсутствуют
25289;Отсутствуют;Отсутствуют
25532;риски отсутствуют;отсутствуют
25691;Отсутствуют;Отсутствуют
25916;нет;нет
25940;нет;нет
25983;Отменяемые обязанности, запреты или ограничения отсутствуют.;Отменяемые обязанности, запреты или ограничения отсутствуют.
26060;Отсутствует;Не требуется
26073;отсутствуют;отсутствует
26227;отсутсвтуют;отсутствуют
26565;отсутствуют;отсутствуют
27123;Отсутствует;отсутствует
27343;Отсутствуют.;Отсутствуют.
27958;отсутствуют;отсутствуют
28004;Отсутствуют;Отсутствуют
28088;отсутствует;отсутствует
28742;отсутствуют;отсутствуют
28846;Не имеется.;Не имеется.
29007;Отсутствует;Отсутствует
29041;нет;нет
29469;Отсутсвуют;Отсутсвуют
29548;Отсутствуют;Отсутствуют
29787;Отсутствует;Отсутствует
34154;отменяемых обязанностей, запретов или ограничений нет;затрат на выполнение отменяемых обязанностей, запретов или ограничений нет
34156;Отсутствуют;Отсутствуют
34226;Даныые будут предоставлены по результатам общественного обсуждения проекта акта;Даныые будут предоставлены по результатам общественного обсуждения проекта акта
34246;нет;нет
34316;Отсутствует;Отсутствует
34356;-;-
34382;отменяемых обязанностей, запретов или ограничений не содержит;затрат на выполнение отменяемых обязанностей, запретов или ограничений не содержит
34390;граждане Российской Федерации, операторы по обращению с твердыми коммунальными отходами, региональные операторы по обращению с твердыми коммунальными отходами, органы исполнительной власти субъектов Российской Федерации;с принятием указанного постановления Правительства Российской Федерации не последует изменения в существующие обязанности, а также ограничений
34460;нет;нет
34490;лица, осуществляющие заготовку древесины на землях обороны и безопасности, в городских лесах и на ООПТ не будут выполнять ряд требований, необходимых при заготовке древесины на землях лесного фонда;не предусмотрено
34649;-;-
