regulation_project_id;Риски решения проблемы предложенным способом и риски негативных последствий;Оценки вероятности наступления рисков;Методы контроля эффективности избранного способа достижения целей регулирования;Степень контроля рисков
7208;нет;нет;в рамках периодической сертификации авиаперевозчиков, операторов аэропортов, предоставляющих аэровокзальный комплекс;высокая
7243;Отсутствуют;Отсутствуют;non-applicable;non-applicable
7258;Отсутствуют;отсутствуют;отсутствуют;отсутствуют
7462;Отсутствуют;-;-;-
7742;Рисков негативного воздействия не имеется.;Низкая.;non-applicable;non-applicable
7981;Отсутствуют;Отсутствуют;Отсутствуют;Высокая
8475;г;г;г;г
10140;Отсутствуют;-;-;-
10805;Предлагаемые законопроектом к введению модели регулирования используются действующим законодательством в иных сферах деятельности, в процессе использования таковых риски негативных последствий или возникновения проблем не выявлены.;-;-;-
11195;Отсутствуют.;Не предусмотрено.;Контроль будет осуществляться со стороны МЧС России в ходе контрольно-надзорных мероприятий в области защиты населения и территории от чрезвычайных ситуаций;Проведение внеплановых проверок по каждому факту неудовлетворительной оценки состояния функциональных и территориальных подсистем РСЧС.
11203;Отсутствуют;Отсутствуют;non-applicable;non-applicable
11760;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
12524;Не выявлены;Нет;В рамках федерального государственного санитарно-эпидемиологического надзора;В соответствии с действующим законодательством, в плановом и внеплановом порядке
12545;-;-;-;-
12558;Отсутствуют;-;-;-
12902;Риск недостаточности механизмов для реализации предложенного способа решения проблемы;Риск вероятен, так как предлагаемое регулирование является лишь частью комплексного регулирования мер государственной поддержки;Данный риск будет контролироваться мероприятиями по мониторингу правоприменения соответствующих нормативных правовых актов;Частичный контроль
12902;Риск несоответствия между способом регулирования и заявленными целями регулирования;Риск минимален, так как проект федерального закона направлен на решение проблем в комплексе с соответствующими поручениями Правительства Российской Федерации;Данный риск будет контролироваться мероприятиями по мониторингу информации, предоставляемой субъектами Российской Федерации;Частичный контроль
12902;Риск несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий;Риск минимален, так как изменения вносятся для применения новых методов анализа, технологий и знаний.;Данный риск будет контролироваться мероприятиями по мониторингу информации, предоставляемой субъектами Российской Федерации;Частичный контроль
12902;Социальный риск, связанный с воздействием регулирования на социальное неравенство, бедность, миграционные процессы, и иные социальные характеристики;Риск минимален в связи с тем, вносимые изменения создают условия для улучшения социальных условий (создание новых рабочих мест).;Данный риск будет контролироваться посредством рассмотрения поступивших обращений граждан по соответствующей тематике и принятия необходимых решений по результатам рассмотрения указанных обращений;Частичный контроль
13374;-;-;non-applicable;non-applicable
13559;несоответствия между предложенным способом регулирования и заявленными целями предложенного способа регулирования;отсутствует;осуществление мероприятий по контролю (надзору);полная
13963;Отсутствуют;Отсутствуют;non-applicable;non-applicable
14026;риски решения проблемы предложенным способом и риски негативных последствий не выявлены;-;-;-
14200;Выпадающие доходы бюджета;100%, однако следует иметь в виду компенсирование за счет прибыли от банковской деятельности;non-applicable;non-applicable
14309;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
14383;Риски решения проблемы предложенным способом регулирования и риски негативных последствий не выявлены.;-;-;-
14725;риски не выявлены;-;-;-
14748;-;-;-;-
15099;- несоответствия между предложенным способом регулирования и заявленными целями предложенного способа регулирования - несоответствия между предложенным способом регулирования и заявленными целями предложенного способа регулирования - недостаточности механизмов реализации предложенного способа регулирования для решения проблемы - невозможности обеспечения достаточного контроля соблюдения предлагаемых требований - отсутствия необходимых ресурсов, кадров - несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий - неясности условий и порядка практического применения положений проекта акта для участников отношений предложенного способа регулирования;отсутствуют;-;полная
15247;Не прогнозируются.;-;-;-
15379;Риск несоответствия между способом регулирования; ; ; 
15379;и заявленными целями регулирования.;Отсутствует.;Не требуется.;Полный контроль.
17151;Несоблюдение ус-танавливаемых обя-зательных требова-ний законодательства в области гидро-метеорологии и смежных с ней об-ластях;Низкая;Плановые и вне-плановые проверки;Высокая
17464;отсутствуют;отсутствуют;отсутствуют;отсутствуют
17555;отсутствуют;вероятность отсутствует;контроль осуществляется в соответствии с Законом о защите конкуренции;отсутствует
17984;отсутствуют;отсутствуют;отсутствуют;отсутствует
18013;- несоответствия между предложенным способом регулирования и заявленными целями предложенного способа регулирования - несоответствия между предложенным способом регулирования и заявленными целями предложенного способа регулирования - недостаточности механизмов реализации предложенного способа регулирования для решения проблемы - невозможности обеспечения достаточного контроля соблюдения предлагаемых требований - отсутствия необходимых ресурсов, кадров - несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий - неясности условий и порядка практического применения положений проекта акта для участников отношений предложенного способа регулирования;отсутствуют;-;полная
18162;Отсутствуют;Отсутствуют;В соответствии с Федеральным законом от 26.12.2008 № 294-ФЗ «О защите прав юридических лиц и индивидуальных предпринимателей при осуществлении государственного контроля (надзора) и муниципального контроля»;+
18209;не выявлены;нет;нет;нет
18230;-;-;-;-
18247;Риски отсутствуют.;Риски отсутствуют.;Риски отсутствуют.;Риски отсутствуют.
18484;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
18716;Риски отсутствуют;Риски отсутствуют;Осуществление мероприятий по контролю (надзору);По мере необходимости
18796;Риск;Отсутствуют;non-applicable;non-applicable
18827;"использование корпоративной гарантии может привести к не достижению цели правового регулирования законопроекта;"; ; ; 
18827;неисполнение норм законопроекта в части создания ликвидационных фондов;"минимальная вероятность наступления в связи с жесткими ограничениями по возможности использования механизма; вероятность наступления в связи с административной ответственностью, а также изменениями Закона Российской Федерации ""О недрах"", Федерального закона ""О несостоятельности"", предусмотренной законопроектом";в рамках исполнения полномочий Ростехнадзора, предусмотренных законопроектом;в соответствии с законодательством Российской Федерации о контроле и надзоре
18839;Несоответствия между предложенным способом регулирования и заявленными целями предложенного способа регулирования;Отсутствует;non-applicable;non-applicable
18888;Информация отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
18988;Нет;Нет;non-applicable;non-applicable
19058;Риск невозможности обеспечения контроля соблюдения требований, вводимых новым регулированием;Такой риск минимален, так как проект постановления связан с нормативными правовыми актами, устанавливающими полномочия органов государственной власти, которые обеспечивают механизмы контроля и не связаны с дополнительными расходами бюджетных средств на их обеспечение.;Данный риск будет контролироваться путем осуществления организационно-технических и информационных мероприятий, в том числе посредством опубликования в открытых источниках;Частичный контроль
