field name,english description,russian description,measure,okei_code,format
regulation_project_id,,Идентификатор проекта на regulation.gov.ru,,,string
Содержательные издержки: Описание социально-экономических последствий реализации проекта акта,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
Содержательные издержки: Единовременные,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
Содержательные издержки: Периодические,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
Информационные издержки: Описание социально-экономических последствий реализации проекта акта,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
Информационные издержки: Единовременные,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
Информационные издержки: Периодические,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
Преимущества и (или) иные выгоды: Описание социально-экономических последствий реализации проекта акта,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
Преимущества и (или) иные выгоды: Единовременные,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
Преимущества и (или) иные выгоды: Периодические,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
